,station,date,DAPR,MDPR,PRCP,SNOW,SNWD,WT01,WT03,WT05,WT11,elevation,mindate,maxdate,latitude,name,datacoverage,elevationUnit,longitude
80,GHCND:USC00124165,2019-03-22T00:00:00,,,0.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
81,GHCND:USC00124165,2019-03-23T00:00:00,,,,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
82,GHCND:USC00124165,2019-03-24T00:00:00,2.0,0.0,,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
83,GHCND:USC00124165,2019-03-25T00:00:00,,,33.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
84,GHCND:USC00124165,2019-03-26T00:00:00,,,0.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
85,GHCND:USC00124165,2019-03-27T00:00:00,,,,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
86,GHCND:USC00124165,2019-03-28T00:00:00,2.0,8.0,,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
87,GHCND:USC00124165,2019-03-29T00:00:00,,,56.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
88,GHCND:USC00124165,2019-03-30T00:00:00,,,216.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
89,GHCND:USC00124165,2019-03-31T00:00:00,,,51.0,5.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
90,GHCND:USC00124165,2019-04-01T00:00:00,,,0.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
91,GHCND:USC00124165,2019-04-02T00:00:00,,,0.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
92,GHCND:USC00124165,2019-04-03T00:00:00,,,0.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
93,GHCND:USC00124165,2019-04-04T00:00:00,,,23.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
94,GHCND:USC00124165,2019-04-05T00:00:00,,,33.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
95,GHCND:USC00124165,2019-04-06T00:00:00,,,0.0,0.0,0.0,1.0,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
96,GHCND:USC00124165,2019-04-07T00:00:00,,,0.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
97,GHCND:USC00124165,2019-04-08T00:00:00,,,38.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
98,GHCND:USC00124165,2019-04-09T00:00:00,,,0.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
99,GHCND:USC00124165,2019-04-10T00:00:00,,,0.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
100,GHCND:USC00124165,2019-04-11T00:00:00,,,28.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
101,GHCND:USC00124165,2019-04-12T00:00:00,,,74.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
102,GHCND:USC00124165,2019-04-13T00:00:00,,,0.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
103,GHCND:USC00124165,2019-04-14T00:00:00,,,109.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
104,GHCND:USC00124165,2019-04-15T00:00:00,,,58.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
105,GHCND:USC00124165,2019-04-16T00:00:00,,,0.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
106,GHCND:USC00124165,2019-04-17T00:00:00,,,0.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
107,GHCND:USC00124165,2019-04-18T00:00:00,,,18.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
108,GHCND:USC00124165,2019-04-19T00:00:00,,,114.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
109,GHCND:USC00124165,2019-04-20T00:00:00,,,3.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
110,GHCND:USC00124165,2019-04-21T00:00:00,,,130.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
111,GHCND:USC00124165,2019-04-22T00:00:00,,,0.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
112,GHCND:USC00124165,2019-04-23T00:00:00,,,15.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
113,GHCND:USC00124165,2019-04-24T00:00:00,,,0.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
114,GHCND:USC00124165,2019-04-25T00:00:00,,,3.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
115,GHCND:USC00124165,2019-04-26T00:00:00,,,193.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
116,GHCND:USC00124165,2019-04-27T00:00:00,,,0.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
117,GHCND:USC00124165,2019-04-28T00:00:00,,,152.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
118,GHCND:USC00124165,2019-04-29T00:00:00,,,20.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
119,GHCND:USC00124165,2019-04-30T00:00:00,,,157.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
120,GHCND:USC00124165,2019-05-01T00:00:00,,,295.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
121,GHCND:USC00124165,2019-05-02T00:00:00,,,0.0,0.0,0.0,1.0,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
122,GHCND:USC00124165,2019-05-03T00:00:00,,,43.0,0.0,0.0,1.0,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
123,GHCND:USC00124165,2019-05-04T00:00:00,,,0.0,0.0,0.0,1.0,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
124,GHCND:USC00124165,2019-05-05T00:00:00,,,0.0,0.0,0.0,1.0,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
125,GHCND:USC00124165,2019-05-06T00:00:00,,,0.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
126,GHCND:USC00124165,2019-05-07T00:00:00,,,0.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
127,GHCND:USC00124165,2019-05-08T00:00:00,,,3.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
128,GHCND:USC00124165,2019-05-09T00:00:00,,,58.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
129,GHCND:USC00124165,2019-05-10T00:00:00,,,8.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
130,GHCND:USC00124165,2019-05-11T00:00:00,,,0.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
131,GHCND:USC00124165,2019-05-12T00:00:00,,,61.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
132,GHCND:USC00124165,2019-05-13T00:00:00,,,53.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
133,GHCND:USC00124165,2019-05-14T00:00:00,,,0.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
134,GHCND:USC00124165,2019-05-15T00:00:00,,,0.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
135,GHCND:USC00124165,2019-05-16T00:00:00,,,0.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
136,GHCND:USC00124165,2019-05-17T00:00:00,,,130.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
137,GHCND:USC00124165,2019-05-18T00:00:00,,,152.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
138,GHCND:USC00124165,2019-05-19T00:00:00,,,0.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
139,GHCND:USC00124165,2019-05-20T00:00:00,,,38.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
140,GHCND:USC00124165,2019-05-21T00:00:00,,,0.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
141,GHCND:USC00124165,2019-05-22T00:00:00,,,132.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
142,GHCND:USC00124165,2019-05-23T00:00:00,,,127.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
143,GHCND:USC00124165,2019-05-24T00:00:00,,,61.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
144,GHCND:USC00124165,2019-05-25T00:00:00,,,0.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
145,GHCND:USC00124165,2019-05-26T00:00:00,,,69.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
146,GHCND:USC00124165,2019-05-27T00:00:00,,,3.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
