,station,date,DAPR,MDPR,PRCP,SNOW,SNWD,WESD,elevation,mindate,maxdate,latitude,name,datacoverage,elevationUnit,longitude
38,GHCND:USC00120014,2019-02-08T00:00:00,,,0.0,0.0,0.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
39,GHCND:USC00120014,2019-02-09T00:00:00,,,0.0,0.0,0.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
40,GHCND:USC00120014,2019-02-10T00:00:00,,,0.0,0.0,0.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
41,GHCND:USC00120014,2019-02-11T00:00:00,,,48.0,51.0,51.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
42,GHCND:USC00120014,2019-02-12T00:00:00,,,178.0,0.0,0.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
43,GHCND:USC00120014,2019-02-13T00:00:00,,,0.0,0.0,0.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
44,GHCND:USC00120014,2019-02-14T00:00:00,,,0.0,0.0,0.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
45,GHCND:USC00120014,2019-02-15T00:00:00,,,0.0,0.0,0.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
46,GHCND:USC00120014,2019-02-16T00:00:00,,,0.0,0.0,0.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
47,GHCND:USC00120014,2019-02-17T00:00:00,,,0.0,0.0,0.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
48,GHCND:USC00120014,2019-02-18T00:00:00,,,13.0,3.0,0.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
