,station,date,PRCP,elevation,mindate,maxdate,latitude,name,datacoverage,elevationUnit,longitude
48,GHCND:US1INNB0022,2019-07-22T00:00:00,124,299.9,2012-06-01,2019-10-30,41.489749,"KENDALLVILLE 3.2 N, IN US",0.0905,METERS,-85.255327
49,GHCND:US1INNB0022,2019-07-30T00:00:00,198,299.9,2012-06-01,2019-10-30,41.489749,"KENDALLVILLE 3.2 N, IN US",0.0905,METERS,-85.255327
50,GHCND:US1INNB0022,2019-08-07T00:00:00,69,299.9,2012-06-01,2019-10-30,41.489749,"KENDALLVILLE 3.2 N, IN US",0.0905,METERS,-85.255327
51,GHCND:US1INNB0022,2019-08-08T00:00:00,15,299.9,2012-06-01,2019-10-30,41.489749,"KENDALLVILLE 3.2 N, IN US",0.0905,METERS,-85.255327
52,GHCND:US1INNB0022,2019-08-13T00:00:00,330,299.9,2012-06-01,2019-10-30,41.489749,"KENDALLVILLE 3.2 N, IN US",0.0905,METERS,-85.255327
53,GHCND:US1INNB0022,2019-08-14T00:00:00,30,299.9,2012-06-01,2019-10-30,41.489749,"KENDALLVILLE 3.2 N, IN US",0.0905,METERS,-85.255327
54,GHCND:US1INNB0022,2019-08-15T00:00:00,356,299.9,2012-06-01,2019-10-30,41.489749,"KENDALLVILLE 3.2 N, IN US",0.0905,METERS,-85.255327
55,GHCND:US1INNB0022,2019-08-19T00:00:00,157,299.9,2012-06-01,2019-10-30,41.489749,"KENDALLVILLE 3.2 N, IN US",0.0905,METERS,-85.255327
56,GHCND:US1INNB0022,2019-08-22T00:00:00,25,299.9,2012-06-01,2019-10-30,41.489749,"KENDALLVILLE 3.2 N, IN US",0.0905,METERS,-85.255327
57,GHCND:US1INNB0022,2019-08-27T00:00:00,94,299.9,2012-06-01,2019-10-30,41.489749,"KENDALLVILLE 3.2 N, IN US",0.0905,METERS,-85.255327
58,GHCND:US1INNB0022,2019-09-04T00:00:00,20,299.9,2012-06-01,2019-10-30,41.489749,"KENDALLVILLE 3.2 N, IN US",0.0905,METERS,-85.255327
59,GHCND:US1INNB0022,2019-09-12T00:00:00,51,299.9,2012-06-01,2019-10-30,41.489749,"KENDALLVILLE 3.2 N, IN US",0.0905,METERS,-85.255327
60,GHCND:US1INNB0022,2019-09-23T00:00:00,94,299.9,2012-06-01,2019-10-30,41.489749,"KENDALLVILLE 3.2 N, IN US",0.0905,METERS,-85.255327
61,GHCND:US1INNB0022,2019-10-22T00:00:00,137,299.9,2012-06-01,2019-10-30,41.489749,"KENDALLVILLE 3.2 N, IN US",0.0905,METERS,-85.255327
62,GHCND:US1INNB0022,2019-10-27T00:00:00,361,299.9,2012-06-01,2019-10-30,41.489749,"KENDALLVILLE 3.2 N, IN US",0.0905,METERS,-85.255327
63,GHCND:US1INNB0022,2019-10-30T00:00:00,46,299.9,2012-06-01,2019-10-30,41.489749,"KENDALLVILLE 3.2 N, IN US",0.0905,METERS,-85.255327
