,station,date,DAPR,MDPR,PRCP,SNOW,SNWD,WESD,WESF,elevation,mindate,maxdate,latitude,name,datacoverage,elevationUnit,longitude
58,GHCND:US1INAL0005,2019-03-01T00:00:00,,,0.0,0.0,0.0,0.0,0.0,257.9,1998-06-01,2020-03-22,41.21444,"HUNTERTOWN 2.6 ESE, IN US",0.9439,METERS,-85.12422
59,GHCND:US1INAL0005,2019-03-02T00:00:00,,,0.0,0.0,0.0,0.0,0.0,257.9,1998-06-01,2020-03-22,41.21444,"HUNTERTOWN 2.6 ESE, IN US",0.9439,METERS,-85.12422
60,GHCND:US1INAL0005,2019-03-03T00:00:00,,,0.0,0.0,0.0,0.0,0.0,257.9,1998-06-01,2020-03-22,41.21444,"HUNTERTOWN 2.6 ESE, IN US",0.9439,METERS,-85.12422
61,GHCND:US1INAL0005,2019-03-04T00:00:00,,,8.0,,,,,257.9,1998-06-01,2020-03-22,41.21444,"HUNTERTOWN 2.6 ESE, IN US",0.9439,METERS,-85.12422
62,GHCND:US1INAL0005,2019-03-05T00:00:00,,,0.0,0.0,0.0,,,257.9,1998-06-01,2020-03-22,41.21444,"HUNTERTOWN 2.6 ESE, IN US",0.9439,METERS,-85.12422
63,GHCND:US1INAL0005,2019-03-06T00:00:00,,,0.0,0.0,0.0,0.0,0.0,257.9,1998-06-01,2020-03-22,41.21444,"HUNTERTOWN 2.6 ESE, IN US",0.9439,METERS,-85.12422
64,GHCND:US1INAL0005,2019-03-07T00:00:00,,,0.0,0.0,0.0,,0.0,257.9,1998-06-01,2020-03-22,41.21444,"HUNTERTOWN 2.6 ESE, IN US",0.9439,METERS,-85.12422
65,GHCND:US1INAL0005,2019-03-08T00:00:00,,,0.0,0.0,0.0,0.0,0.0,257.9,1998-06-01,2020-03-22,41.21444,"HUNTERTOWN 2.6 ESE, IN US",0.9439,METERS,-85.12422
66,GHCND:US1INAL0005,2019-03-09T00:00:00,,,0.0,0.0,0.0,0.0,0.0,257.9,1998-06-01,2020-03-22,41.21444,"HUNTERTOWN 2.6 ESE, IN US",0.9439,METERS,-85.12422
67,GHCND:US1INAL0005,2019-03-10T00:00:00,,,254.0,0.0,0.0,0.0,0.0,257.9,1998-06-01,2020-03-22,41.21444,"HUNTERTOWN 2.6 ESE, IN US",0.9439,METERS,-85.12422
68,GHCND:US1INAL0005,2019-03-11T00:00:00,,,0.0,0.0,0.0,0.0,0.0,257.9,1998-06-01,2020-03-22,41.21444,"HUNTERTOWN 2.6 ESE, IN US",0.9439,METERS,-85.12422
69,GHCND:US1INAL0005,2019-03-12T00:00:00,,,0.0,0.0,0.0,0.0,0.0,257.9,1998-06-01,2020-03-22,41.21444,"HUNTERTOWN 2.6 ESE, IN US",0.9439,METERS,-85.12422
70,GHCND:US1INAL0005,2019-03-13T00:00:00,,,0.0,0.0,0.0,0.0,0.0,257.9,1998-06-01,2020-03-22,41.21444,"HUNTERTOWN 2.6 ESE, IN US",0.9439,METERS,-85.12422
71,GHCND:US1INAL0005,2019-03-14T00:00:00,,,28.0,0.0,0.0,0.0,0.0,257.9,1998-06-01,2020-03-22,41.21444,"HUNTERTOWN 2.6 ESE, IN US",0.9439,METERS,-85.12422
72,GHCND:US1INAL0005,2019-03-15T00:00:00,,,170.0,0.0,0.0,0.0,0.0,257.9,1998-06-01,2020-03-22,41.21444,"HUNTERTOWN 2.6 ESE, IN US",0.9439,METERS,-85.12422
73,GHCND:US1INAL0005,2019-03-16T00:00:00,,,13.0,0.0,0.0,0.0,0.0,257.9,1998-06-01,2020-03-22,41.21444,"HUNTERTOWN 2.6 ESE, IN US",0.9439,METERS,-85.12422
74,GHCND:US1INAL0005,2019-03-17T00:00:00,,,0.0,0.0,0.0,0.0,0.0,257.9,1998-06-01,2020-03-22,41.21444,"HUNTERTOWN 2.6 ESE, IN US",0.9439,METERS,-85.12422
75,GHCND:US1INAL0005,2019-03-18T00:00:00,,,20.0,,,,,257.9,1998-06-01,2020-03-22,41.21444,"HUNTERTOWN 2.6 ESE, IN US",0.9439,METERS,-85.12422
76,GHCND:US1INAL0005,2019-03-19T00:00:00,,,0.0,0.0,0.0,0.0,0.0,257.9,1998-06-01,2020-03-22,41.21444,"HUNTERTOWN 2.6 ESE, IN US",0.9439,METERS,-85.12422
77,GHCND:US1INAL0005,2019-03-20T00:00:00,,,0.0,0.0,0.0,0.0,0.0,257.9,1998-06-01,2020-03-22,41.21444,"HUNTERTOWN 2.6 ESE, IN US",0.9439,METERS,-85.12422
78,GHCND:US1INAL0005,2019-03-21T00:00:00,,,48.0,0.0,0.0,0.0,0.0,257.9,1998-06-01,2020-03-22,41.21444,"HUNTERTOWN 2.6 ESE, IN US",0.9439,METERS,-85.12422
79,GHCND:US1INAL0005,2019-03-22T00:00:00,,,0.0,0.0,0.0,0.0,0.0,257.9,1998-06-01,2020-03-22,41.21444,"HUNTERTOWN 2.6 ESE, IN US",0.9439,METERS,-85.12422
80,GHCND:US1INAL0005,2019-03-23T00:00:00,,,0.0,0.0,0.0,0.0,0.0,257.9,1998-06-01,2020-03-22,41.21444,"HUNTERTOWN 2.6 ESE, IN US",0.9439,METERS,-85.12422
81,GHCND:US1INAL0005,2019-03-24T00:00:00,,,0.0,0.0,0.0,0.0,0.0,257.9,1998-06-01,2020-03-22,41.21444,"HUNTERTOWN 2.6 ESE, IN US",0.9439,METERS,-85.12422
82,GHCND:US1INAL0005,2019-03-25T00:00:00,,,20.0,0.0,0.0,0.0,0.0,257.9,1998-06-01,2020-03-22,41.21444,"HUNTERTOWN 2.6 ESE, IN US",0.9439,METERS,-85.12422
83,GHCND:US1INAL0005,2019-03-26T00:00:00,,,0.0,0.0,0.0,0.0,0.0,257.9,1998-06-01,2020-03-22,41.21444,"HUNTERTOWN 2.6 ESE, IN US",0.9439,METERS,-85.12422
84,GHCND:US1INAL0005,2019-03-27T00:00:00,,,0.0,0.0,0.0,0.0,0.0,257.9,1998-06-01,2020-03-22,41.21444,"HUNTERTOWN 2.6 ESE, IN US",0.9439,METERS,-85.12422
85,GHCND:US1INAL0005,2019-03-28T00:00:00,,,10.0,0.0,0.0,0.0,0.0,257.9,1998-06-01,2020-03-22,41.21444,"HUNTERTOWN 2.6 ESE, IN US",0.9439,METERS,-85.12422
86,GHCND:US1INAL0005,2019-03-29T00:00:00,,,20.0,0.0,0.0,0.0,0.0,257.9,1998-06-01,2020-03-22,41.21444,"HUNTERTOWN 2.6 ESE, IN US",0.9439,METERS,-85.12422
87,GHCND:US1INAL0005,2019-03-30T00:00:00,,,183.0,0.0,0.0,0.0,0.0,257.9,1998-06-01,2020-03-22,41.21444,"HUNTERTOWN 2.6 ESE, IN US",0.9439,METERS,-85.12422
88,GHCND:US1INAL0005,2019-03-31T00:00:00,,,178.0,5.0,5.0,,,257.9,1998-06-01,2020-03-22,41.21444,"HUNTERTOWN 2.6 ESE, IN US",0.9439,METERS,-85.12422
89,GHCND:US1INAL0005,2019-04-01T00:00:00,,,0.0,0.0,0.0,0.0,0.0,257.9,1998-06-01,2020-03-22,41.21444,"HUNTERTOWN 2.6 ESE, IN US",0.9439,METERS,-85.12422
90,GHCND:US1INAL0005,2019-04-02T00:00:00,,,0.0,0.0,0.0,0.0,0.0,257.9,1998-06-01,2020-03-22,41.21444,"HUNTERTOWN 2.6 ESE, IN US",0.9439,METERS,-85.12422
91,GHCND:US1INAL0005,2019-04-03T00:00:00,,,0.0,0.0,0.0,0.0,0.0,257.9,1998-06-01,2020-03-22,41.21444,"HUNTERTOWN 2.6 ESE, IN US",0.9439,METERS,-85.12422
92,GHCND:US1INAL0005,2019-04-04T00:00:00,,,18.0,0.0,0.0,0.0,0.0,257.9,1998-06-01,2020-03-22,41.21444,"HUNTERTOWN 2.6 ESE, IN US",0.9439,METERS,-85.12422
93,GHCND:US1INAL0005,2019-04-05T00:00:00,,,5.0,0.0,0.0,0.0,0.0,257.9,1998-06-01,2020-03-22,41.21444,"HUNTERTOWN 2.6 ESE, IN US",0.9439,METERS,-85.12422
94,GHCND:US1INAL0005,2019-04-06T00:00:00,,,0.0,0.0,0.0,0.0,0.0,257.9,1998-06-01,2020-03-22,41.21444,"HUNTERTOWN 2.6 ESE, IN US",0.9439,METERS,-85.12422
95,GHCND:US1INAL0005,2019-04-07T00:00:00,,,0.0,0.0,0.0,0.0,0.0,257.9,1998-06-01,2020-03-22,41.21444,"HUNTERTOWN 2.6 ESE, IN US",0.9439,METERS,-85.12422
96,GHCND:US1INAL0005,2019-04-08T00:00:00,,,28.0,0.0,0.0,0.0,0.0,257.9,1998-06-01,2020-03-22,41.21444,"HUNTERTOWN 2.6 ESE, IN US",0.9439,METERS,-85.12422
97,GHCND:US1INAL0005,2019-04-09T00:00:00,,,0.0,0.0,0.0,0.0,0.0,257.9,1998-06-01,2020-03-22,41.21444,"HUNTERTOWN 2.6 ESE, IN US",0.9439,METERS,-85.12422
98,GHCND:US1INAL0005,2019-04-10T00:00:00,,,0.0,0.0,0.0,0.0,0.0,257.9,1998-06-01,2020-03-22,41.21444,"HUNTERTOWN 2.6 ESE, IN US",0.9439,METERS,-85.12422
99,GHCND:US1INAL0005,2019-04-11T00:00:00,,,5.0,0.0,0.0,0.0,0.0,257.9,1998-06-01,2020-03-22,41.21444,"HUNTERTOWN 2.6 ESE, IN US",0.9439,METERS,-85.12422
