,station,date,DAPR,MDPR,PRCP,SNOW,elevation,mindate,maxdate,latitude,name,datacoverage,elevationUnit,longitude
76,GHCND:US1INNB0024,2019-03-28T00:00:00,,,0.0,,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
77,GHCND:US1INNB0024,2019-03-29T00:00:00,,,43.0,,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
78,GHCND:US1INNB0024,2019-03-30T00:00:00,,,185.0,,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
79,GHCND:US1INNB0024,2019-03-31T00:00:00,,,170.0,,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
80,GHCND:US1INNB0024,2019-04-01T00:00:00,,,0.0,0.0,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
81,GHCND:US1INNB0024,2019-04-02T00:00:00,,,0.0,0.0,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
82,GHCND:US1INNB0024,2019-04-03T00:00:00,,,0.0,0.0,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
83,GHCND:US1INNB0024,2019-04-04T00:00:00,,,0.0,0.0,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
84,GHCND:US1INNB0024,2019-04-05T00:00:00,,,41.0,0.0,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
85,GHCND:US1INNB0024,2019-04-06T00:00:00,,,0.0,0.0,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
86,GHCND:US1INNB0024,2019-04-07T00:00:00,,,0.0,0.0,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
87,GHCND:US1INNB0024,2019-04-08T00:00:00,,,8.0,,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
88,GHCND:US1INNB0024,2019-04-09T00:00:00,,,0.0,0.0,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
89,GHCND:US1INNB0024,2019-04-10T00:00:00,,,0.0,0.0,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
90,GHCND:US1INNB0024,2019-04-11T00:00:00,,,0.0,0.0,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
91,GHCND:US1INNB0024,2019-04-12T00:00:00,,,76.0,,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
92,GHCND:US1INNB0024,2019-04-13T00:00:00,,,0.0,0.0,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
93,GHCND:US1INNB0024,2019-04-14T00:00:00,,,94.0,,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
94,GHCND:US1INNB0024,2019-04-15T00:00:00,,,114.0,13.0,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
95,GHCND:US1INNB0024,2019-04-17T00:00:00,,,0.0,0.0,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
96,GHCND:US1INNB0024,2019-04-18T00:00:00,,,0.0,0.0,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
97,GHCND:US1INNB0024,2019-04-19T00:00:00,,,170.0,,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
98,GHCND:US1INNB0024,2019-04-20T00:00:00,,,0.0,0.0,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
99,GHCND:US1INNB0024,2019-04-21T00:00:00,,,112.0,,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
100,GHCND:US1INNB0024,2019-04-22T00:00:00,,,0.0,0.0,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
101,GHCND:US1INNB0024,2019-04-23T00:00:00,,,10.0,,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
102,GHCND:US1INNB0024,2019-04-24T00:00:00,,,0.0,0.0,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
103,GHCND:US1INNB0024,2019-04-25T00:00:00,,,0.0,0.0,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
104,GHCND:US1INNB0024,2019-04-26T00:00:00,,,135.0,,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
105,GHCND:US1INNB0024,2019-04-27T00:00:00,,,0.0,0.0,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
106,GHCND:US1INNB0024,2019-04-28T00:00:00,,,157.0,0.0,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
107,GHCND:US1INNB0024,2019-04-29T00:00:00,,,0.0,0.0,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
108,GHCND:US1INNB0024,2019-04-30T00:00:00,,,170.0,,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
109,GHCND:US1INNB0024,2019-05-01T00:00:00,,,254.0,,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
110,GHCND:US1INNB0024,2019-05-02T00:00:00,,,0.0,,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
111,GHCND:US1INNB0024,2019-05-03T00:00:00,,,30.0,,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
112,GHCND:US1INNB0024,2019-05-04T00:00:00,,,0.0,0.0,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
113,GHCND:US1INNB0024,2019-05-05T00:00:00,,,0.0,0.0,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
114,GHCND:US1INNB0024,2019-05-06T00:00:00,,,0.0,0.0,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
115,GHCND:US1INNB0024,2019-05-07T00:00:00,,,0.0,0.0,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
116,GHCND:US1INNB0024,2019-05-08T00:00:00,,,0.0,0.0,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
117,GHCND:US1INNB0024,2019-05-09T00:00:00,,,0.0,0.0,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
118,GHCND:US1INNB0024,2019-05-10T00:00:00,,,64.0,,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
119,GHCND:US1INNB0024,2019-05-11T00:00:00,,,0.0,0.0,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
120,GHCND:US1INNB0024,2019-05-12T00:00:00,,,20.0,,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
121,GHCND:US1INNB0024,2019-05-13T00:00:00,,,84.0,,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
122,GHCND:US1INNB0024,2019-05-14T00:00:00,,,0.0,,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
123,GHCND:US1INNB0024,2019-05-15T00:00:00,,,0.0,0.0,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
124,GHCND:US1INNB0024,2019-05-16T00:00:00,,,0.0,0.0,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
125,GHCND:US1INNB0024,2019-05-17T00:00:00,,,160.0,,296.6,2013-02-01,2020-03-22,41.497119,"KENDALLVILLE 4.5 NW, IN US",1,METERS,-85.307049
